year,month,day,hour,minutes,lat,lon,depth,mb,ms
2010,5,15,8,38,32.176,115.2721,4.5,3.5,n.a
2010,5,19,0,39,32.6743,115.8498,7.6,4.4,n.a
2010,5,22,17,30,32.6087,115.7619,11.4,4.4,n.a
2010,6,2,16,7,32.1333,115.1735,16.1,n.a,3.2
2010,6,11,20,51,32.4098,115.2148,12.4,4.3,n.a
2010,6,13,3,8,33.3818,116.4064,15.6,4.2,n.a
2010,6,15,4,26,32.6951,115.9368,5.4,5.5,n.a
2010,6,15,8,14,32.6373,115.864,10.2,n.a,3.2
2010,7,6,16,38,32.2394,115.3512,12.8,n.a,3.2
2010,7,7,23,53,33.4024,116.4998,10.2,5.2,n.a
2010,8,24,5,42,33.5105,118.9813,5.3,3.8,n.a
2010,8,29,15,53,32.2124,115.3125,12.7,n.a,3.4
2010,9,14,10,52,32.134,115.2137,12.1,4.6,n.a
2010,9,15,6,9,32.1948,115.2541,16.0,4.4,n.a
2010,9,30,8,37,37.1561,117.3503,4.0,4.1,n.a
2010,11,4,19,39,32.8639,115.9899,14.8,5.3,n.a
2010,12,11,12,52,32.1849,115.3132,7.9,4.5,n.a
2010,12,15,19,16,33.0364,115.5686,12.8,n.a,3.4
2011,1,22,19,21,38.5284,118.3982,0.1,3.1,n.a
2011,2,18,17,47,32.0538,115.0967,6.8,4.9,n.a
2011,2,20,19,34,32.1368,115.254,9.4,4.4,n.a
2011,3,31,20,22,32.3847,115.2329,7.5,4.1,n.a
2011,4,5,11,56,35.9796,121.7062,6.4,4.0,n.a
2011,4,13,22,10,38.3271,118.7399,0.3,4.3,n.a
2011,4,15,13,33,38.3873,118.7267,3.2,3.5,n.a
2011,4,17,0,45,38.411,118.7329,0.9,4.4,n.a
2011,5,3,21,41,36.3839,117.8787,5.8,3.9,n.a
2011,5,12,16,23,38.3937,118.7162,2.3,n.a,3.1
2011,6,9,15,22,32.6711,115.7486,9.2,4.0,n.a
2011,7,15,10,37,32.1035,115.1222,10.1,n.a,3.3
2011,8,24,11,59,37.5261,118.8983,6.7,5.0,n.a
2011,8,27,7,18,36.5517,121.2362,12.1,4.2,n.a
2011,10,1,7,7,38.7962,118.9952,25.0,5.1,n.a
2011,10,15,11,42,37.8981,118.5569,6.1,3.5,n.a
2011,10,21,3,16,37.8158,122.3907,25.8,n.a,3.0
2011,10,27,6,37,39.5816,120.4718,16.5,4.6,n.a
2011,12,30,15,34,32.182,115.298,19.6,n.a,3.5
2012,1,3,14,18,33.2091,119.4159,15.0,3.8,n.a
2012,1,18,13,31,32.3594,115.2767,3.7,3.5,n.a
2012,2,13,4,47,38.8058,122.7353,7.0,3.9,n.a
2012,2,13,21,7,41.0977,123.7101,32.8,5.3,n.a
2012,2,14,10,9,32.1306,115.1831,12.4,4.8,n.a
2012,2,29,1,27,32.2051,115.2743,8.0,3.8,n.a
2012,2,29,5,0,41.1333,123.8308,10.0,3.8,n.a
2012,3,5,13,33,37.9163,122.2969,13.0,3.6,n.a
2012,4,23,17,37,33.5095,117.7336,1.6,3.3,n.a
2012,4,28,15,7,34.1428,117.4512,11.1,4.0,n.a
2012,4,28,21,25,32.1861,115.3186,1.4,3.7,n.a
2012,5,5,9,23,38.8105,122.7747,0.1,4.2,n.a
2012,5,13,12,38,38.8095,122.8063,4.2,n.a,3.1
2012,5,22,15,6,32.6886,115.705,14.8,n.a,3.2
2012,5,30,5,14,33.6631,119.0408,10.0,3.5,n.a
2012,6,23,3,51,39.2882,120.0232,1.6,4.5,n.a
2012,7,1,3,25,32.2172,115.3448,3.0,4.6,n.a
2012,7,1,6,36,32.1972,115.3102,6.2,4.6,n.a
2012,7,1,7,54,32.193,115.2761,2.5,n.a,3.0
2012,7,8,12,5,39.514,123.6737,10.3,4.2,n.a
2012,8,6,7,35,35.9209,120.4876,12.1,4.5,n.a
2012,8,8,6,23,33.8153,117.8329,1.3,3.7,n.a
2012,8,8,16,33,33.8509,117.7831,5.9,4.2,n.a
2012,8,26,19,20,33.0273,115.5666,13.2,4.3,n.a
2012,8,26,19,31,33.0466,115.5352,2.3,4.7,n.a
2012,8,26,20,57,33.0337,115.5541,2.4,4.7,n.a
2012,8,26,21,15,33.0514,115.5457,10.0,3.8,n.a
2012,8,26,22,58,32.9371,115.5888,11.7,n.a,3.2
2012,8,26,23,33,32.9958,115.5758,13.6,4.6,n.a
2012,8,27,4,41,33.0575,115.5877,10.1,4.5,n.a
2012,8,28,2,1,33.0071,115.5686,14.6,n.a,3.5
2012,9,7,13,23,36.1182,120.0609,9.4,4.1,n.a
2012,9,25,15,15,39.1138,123.2364,10.0,4.2,n.a
2012,10,2,8,28,32.8119,116.1496,9.8,4.2,n.a
2012,10,19,2,51,32.1106,115.2162,8.5,n.a,3.3
